# Every key this machine can say, and the English under it.
#
# GENERATED. Do not edit by hand:
#   UPDATE_VOCABULARY_SNAPSHOT=1 cargo test -p alo-saying \
#     --test a_published_sentence_keeps_its_key
#
# It exists so that the English under a published key cannot move without somebody
# answering whether the meaning moved with it. A translation is keyed, so editing the
# English under a key leaves every translation of it rendering perfectly and saying
# something this product no longer says. ADR 0068 decides what may change; reworded.txt
# beside this file is where a rewording that kept its key says why the meaning held.
#
# One line per key: the key, a tab, then the English exactly as the crate declares it.

access.a-setting	a setting
access.an-application	an application
access.approve-it	approve
access.arrange-this-window	move this window
access.ask-the-agent	ask the agent
access.bounce-keys	ignore the same key pressed twice quickly
access.close-this-window	close this window
access.focus-always-visible	always show where the keyboard is
access.go-back-at-the-next-restart	go back the next time this machine starts
access.go-back-now	go back now, restarting this machine
access.high-contrast	use strong colours that are easier to read
access.larger-text	make all text larger
access.magnifier	magnify what is under the pointer
access.one-thing-that-happened	one thing that happened
access.reduced-motion	stop things sliding and fading
access.say-no	no
access.screen-reader	read the screen aloud
access.settings	settings
access.settings-here	settings for seeing, hearing and typing
access.sign-in	signing in
access.sign-in-now	sign in
access.slow-keys	ignore a key unless it is held for a moment
access.something-is-asked	the machine is asking you something
access.something-is-leaving	something is leaving this machine
access.sticky-keys	press keys one at a time instead of holding them together
access.the-agent-is-working	the agent is working
access.the-choices	what you can choose
access.the-desktop	the desktop
access.the-dock	the dock
access.the-launcher	open something
access.the-password	password
access.the-record	the record
access.the-recovery-screen	getting this machine started again
access.the-status-area	what this machine is doing
access.the-windows-open	the windows that are open
access.what-can-be-changed	what can be changed
access.what-happened	what has happened
access.what-is-running	the version of this machine you are running
access.what-it-replaced	the version it replaced
access.what-the-turn-wrote	what will happen if you approve
access.who-is-signing-in	who is signing in
accounts.not-signed-in	that name and password do not sign anyone in on this machine — check both and try again
accounts.not-this-machines-person	this machine is set up for a different account, so you were not signed in — its description and its accounts disagree, and whoever installed it has to put that right
adapters.fallback.activate-control.application	the application the control is in
adapters.fallback.activate-control.by-hand	Press the control in the application's window, with the pointer or from the keyboard
adapters.fallback.activate-control.kind	what kind of control it is
adapters.fallback.activate-control.name	the name the control shows
adapters.fallback.activate-control.purpose	press a button or another control in an application's window
adapters.fallback.activate-control.sentence	press the {kind} named “{name}” in {application}
adapters.fallback.cannot-be-pressed	The {kind} named “{name}” in {application} cannot be pressed from outside the application, so nothing was pressed
adapters.fallback.cannot-be-used-now	The {kind} named “{name}” in {application} cannot be used right now, so it was not pressed
adapters.fallback.did-not-answer-pressing	{application} did not answer in time, so whether the {kind} named “{name}” was pressed is not known
adapters.fallback.did-not-answer-reading	{application} did not answer in time, so nothing was read or pressed in it
adapters.fallback.did-not-press	{application} did not press the {kind} named “{name}”
adapters.fallback.has-its-own	{application} has its own list of what the agent can do in it, so nothing was read or pressed in its windows instead
adapters.fallback.kind.button	button
adapters.fallback.kind.check-box	check box
adapters.fallback.kind.link	link
adapters.fallback.kind.menu-item	menu item
adapters.fallback.kind.radio-button	radio button
adapters.fallback.kind.switch	switch
adapters.fallback.kind.tab	tab
adapters.fallback.limit.another-program	a part of the window shown by another program, which was not read
adapters.fallback.limit.no-name	a control with no name, which the agent can neither describe nor press
adapters.fallback.limit.not-described	an area the application draws itself and does not describe, which the agent cannot read
adapters.fallback.more-than-one	{application} shows more than one {kind} named “{name}”, so nothing was pressed rather than guessing which
adapters.fallback.no-such-control	{application} shows no {kind} named “{name}” now, so nothing was pressed
adapters.fallback.no-window	{application} has no window on the screen, so there was nothing to read or press
adapters.fallback.not-all-read	{application} shows more than can be read at once, so not all of it was read
adapters.fallback.not-readable-here	What applications show could not be read on this machine just now, so nothing was read or pressed in {application}
adapters.fallback.not-this-verb	{verb} is not reading or pressing something in an application's window, so nothing was done
adapters.fallback.read-window.application	the application whose windows to read
adapters.fallback.read-window.by-hand	Look at the application's window, or have the screen reader read it aloud
adapters.fallback.read-window.purpose	read what an application's windows show
adapters.fallback.read-window.sentence	read what {application} shows in its windows
adapters.fallback.too-much-to-be-sure	{application} shows more than can be read at once, so whether its {kind} named “{name}” is the only one is not known, and nothing was pressed
adapters.not-carried-out.did-not-answer	{application} did not answer in time, so whether it did what was approved is not known
adapters.not-carried-out.does-not-offer	{application} does not offer what was approved, so nothing was done in it. This release of it may not be one this machine knows how to ask
adapters.not-carried-out.not-an-adapters-verb	{verb} is not something an application on this machine was asked to do, so nothing was sent
adapters.not-carried-out.not-built	What was approved could not be put to {application}, so nothing was done in it
adapters.not-carried-out.not-there	{application} could not be reached, so nothing was done in it
adapters.not-carried-out.refused	{application} refused what was approved, and nothing was done in it
adapters.text-editor.new-window.by-hand	In GNOME Text Editor, open its menu and choose New Window
adapters.text-editor.new-window.purpose	open a new, empty GNOME Text Editor window
adapters.text-editor.new-window.sentence	open a new GNOME Text Editor window
adapters.text-editor.open-document.by-hand	In GNOME Text Editor, choose Open and pick the document
adapters.text-editor.open-document.document	the document to open
adapters.text-editor.open-document.purpose	open a document in GNOME Text Editor
adapters.text-editor.open-document.sentence	open {document} in GNOME Text Editor
adapting.delete-the-adapter	delete what these documents taught
adapting.deleting-this-adapter	Delete this adapter and your model no longer has what these documents taught it. Everything else it learned stays.
adapting.keep-it-or-not	keep what it learned?
adapting.not-trained-on	found and not used
adapting.revoking-a-trained-folder	This stops new training on these documents. What they already taught your model is kept in an adapter you can delete.
adapting.start-teaching	teach it from these documents
adapting.what-it-cost	how long it took, and how much of this machine it used
adapting.what-it-should-learn	what should it get better at?
adapting.what-it-will-learn-from	what your model will learn from
adapting.which-folder	which folder should your model learn from?
answering.not-on-offer	that was offered for a different question, so nothing was sent — ask again
answering.nothing-was-sent	nothing was sent anywhere, and nothing will be unless you say so
answering.nowhere-else	there is nowhere else set up to answer this question
answering.offer.here	have this question answered {source} instead, just this once — it would not leave this machine
answering.offer.in-the-building	have this question answered {source} instead, just this once — the question would leave this machine and stay on your network
answering.offer.outside	have this question answered {source} instead, just this once — the question would leave this machine and the building
answering.there.answers-elsewhere	nothing was answered {source} — that machine's own questions go to a provider, and it never passes a question from another machine on to one
answering.there.not-permitted	nothing was answered {source} — the pairing with that machine does not let this one ask its models, so it would not take the question
answering.there.nothing-chosen	nothing was answered {source} — nothing on that machine is chosen and running to answer questions at the moment
answering.wrong.having-trouble	nothing was answered {source} — it answered {status}, which is a problem at that end rather than yours
answering.wrong.key-not-accepted	the key for this provider was not accepted, so nothing was answered {source}
answering.wrong.no-model-there	the model this question needed was not there to answer {source}
answering.wrong.no-way-there	nothing was answered {source} — there is no way there from the network this machine is on, so the question was not sent
answering.wrong.nothing-answered	nothing answered {source}
answering.wrong.nothing-usable	something answered {source}, but not with anything this machine could use
answering.wrong.ran-out	nothing was answered {source} — the account there has run out, so nothing will be answered until it is paid for, and nothing else about this machine has changed
answering.wrong.sent-somewhere-else	nothing was answered {source} — that address sends this machine somewhere nobody agreed to, and the question was not carried there
answering.wrong.took-too-long	nothing answered {source} within the time this machine waits
appearance.accent.indigo	Indigo
appearance.accent.moss	Moss
appearance.accent.not-an-accent	{colour} is a ground or a structure colour rather than an accent — choose verdigris, indigo, violet, moss or rose
appearance.accent.not-offered	{colour} is not one of the accents this system offers — choose verdigris, indigo, violet, moss or rose, each of which is drawn to read on a light ground and on a dark one
appearance.accent.reserved	terracotta is how this machine says alo is present or acting, so it is not offered as a personal accent — choose verdigris, indigo, violet, moss or rose
appearance.accent.rose	Rose
appearance.accent.verdigris	Verdigris
appearance.accent.violet	Violet
appearance.colour.not-a-colour	a colour is a hash and six hexadecimal digits, as in #102A43 — {text} is not
